img,other prob,covid prob,ground truth,predict label
person1234_virus_2093.png,0.79029727,0.20970276,0,0
person1398_virus_2401.png,0.64726865,0.3527314,0,0
person475_virus_972.png,0.7841723,0.21582767,0,0
person1138_virus_1877.png,0.8567591,0.14324087,0,0
person855_virus_1500.png,0.7467611,0.25323895,0,0
person53_bacteria_252.png,0.73528475,0.26471522,0,0
person23_bacteria_88.png,0.8637423,0.13625777,0,0
person255_virus_531.png,0.71109986,0.28890014,0,0
person467_virus_961.png,0.8096917,0.19030823,0,0
person480_virus_982.png,0.943333,0.0566669,0,0
person273_virus_562.png,0.7814948,0.21850523,0,0
person1636_bacteria_4337.png,0.7977747,0.20222531,0,0
person1872_bacteria_4750.png,0.66070354,0.3392965,0,0
person59_bacteria_284.png,0.7354493,0.2645507,0,0
person1629_bacteria_4299.png,0.71912706,0.2808729,0,0
person630_virus_1209.png,0.73696053,0.26303947,0,0
person1619_bacteria_4271.png,0.67971176,0.32028824,0,0
person1886_bacteria_4773.png,0.76233107,0.2376689,0,0
person1590_bacteria_4176.png,0.6245616,0.37543845,0,0
person501_bacteria_2115.png,0.7718462,0.22815387,0,0
person554_bacteria_2323.png,0.806291,0.19370897,0,0
person826_virus_1462.png,0.7738312,0.22616878,0,0
person1345_bacteria_3426.png,0.8136863,0.18631366,0,0
person693_bacteria_2590.png,0.66545117,0.3345488,0,0
person596_bacteria_2449.png,0.84365374,0.15634619,0,0
person875_bacteria_2798.png,0.6995789,0.30042106,0,0
person1201_bacteria_3151.png,0.848329,0.15167099,0,0
person319_bacteria_1478.png,0.7777572,0.22224282,0,0
person816_bacteria_2727.png,0.76424104,0.23575898,0,0
person500_bacteria_2109.png,0.8826412,0.11735883,0,0
person438_bacteria_1891.png,0.67896503,0.321035,0,0
person519_virus_1038.png,0.79449165,0.2055084,0,0
person902_bacteria_2827.png,0.80316824,0.19683173,0,0
person465_bacteria_1977.png,0.6844293,0.31557068,0,0
person1208_bacteria_3160.png,0.7220225,0.2779775,0,0
person582_bacteria_2405.png,0.70166165,0.2983383,0,0
person1505_virus_2615.png,0.68394965,0.31605035,0,0
person280_bacteria_1318.png,0.7200295,0.27997053,0,0
person370_bacteria_1692.png,0.8598251,0.14017497,0,0
person564_bacteria_2346.png,0.76473576,0.23526423,0,0
person1372_bacteria_3501.png,0.65865535,0.3413447,0,0
person1490_bacteria_3891.png,0.77730584,0.22269413,0,0
person413_bacteria_1830.png,0.7393381,0.2606619,0,0
person423_bacteria_1854.png,0.6696781,0.3303219,0,0
person1446_bacteria_3737.png,0.66726637,0.33273363,0,0
person1481_bacteria_3867.png,0.7381041,0.26189584,0,0
person471_bacteria_2005.png,0.7504504,0.24954958,0,0
person153_virus_304.png,0.79456747,0.20543247,0,0
1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.png,0.2493797,0.7506203,1,1
1-s20-S1684118220300682-mainpdf-003-b2.png,0.55638444,0.4436156,1,0
auntminnie-a-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.png,0.16689864,0.83310133,1,1
nejmoa2001191_f5-PA.png,0.24734256,0.7526574,1,1
